10.08	13	s1
13	16.54	1a
16.54	18.24	1b
18.24	20.42	1c
20.42	22.48	1d
22.48	24.94	2a
24.94	27.52	2b
27.52	29.2	3a
29.2	30.64	3b
30.64	37.4	3c
37.4	38.72	4a
38.72	41.28	4b
41.28	46.12	4c
46.12	48.88	5a
48.88	53.38	5b
53.38	57.12	6a
57.12	60.16	6b
60.16	63.06	7a
63.06	67.8	7b
67.8	70.36	8a
70.36	73.46	8b
73.46	75.74	9a
75.74	81.82	9b
81.82	85.52	10a
85.52	88.9	10b
88.9	90.48	10c
90.48	93.6	10d
93.6	95.84	11a
95.84	99.7	11b
99.7	100.84	12a
100.84	102.42	12b
102.42	103.92	12c
103.92	107.6	12d
107.6	113.6	13a
113.6	117.6	13b
117.6	121.08	13c
121.08	125.44	13d
125.44	129.08	14a
129.08	131.52	14b
131.52	134.2	14c
134.2	137.56	14d
137.56	143.8	14e
143.8	146.76	15a
146.76	148.26	15b
148.26	151.2	15c
151.2	154.98	15d
154.98	156.48	15e
156.48	157.6	15f
157.6	159.64	15g
159.64	162.7	16a
162.7	164.84	16b
164.84	167.22	17a
167.22	173.38	17b
173.38	176.22	18a
176.22	178.36	18b
178.36	180.28	18c
180.28	184.18	18d
184.18	188.3	s2
188.3	195.46	19a
195.46	196.84	19b
196.84	200.4	20a
200.4	203.16	20b
203.16	203.88	20c
203.88	205.58	20d
205.58	207.88	21a
207.88	209.36	21b
209.36	210.88	21c
210.88	212.02	21d
212.02	213.92	21e
213.92	214.84	21f
214.84	216.36	21g
216.36	218.32	21h
218.32	220.34	21i
220.34	221.92	21j
221.92	222.96	21k
222.96	224.96	22a
224.96	225.6	22b
225.6	226.66	22c
226.66	229.86	22d
229.86	232.08	22e
232.08	234.1	23a
234.1	237.66	23b
237.66	239.44	23c
239.44	242	23d
242	245.66	23e
245.66	248.44	24a
248.44	250.02	24b
250.02	251.6	25a
251.6	253.04	25b
253.04	253.96	25c
253.96	257.38	25d
257.38	259.86	25e
259.86	261.98	26a
261.98	264.74	26b
264.74	267.94	26c
267.94	272.54	27a
272.54	276.52	27b
276.52	278.92	28a
278.92	281.74	28b
281.74	286.68	28c
286.68	290.06	s3
290.06	294.18	29a
294.18	296.44	29b
296.44	301.52	29c
301.52	303.84	30a
303.84	308.04	30b
308.04	309.88	30c
309.88	310.88	30d
310.88	313.04	30e
313.04	315.36	31a
315.36	321.14	31b
321.14	324.62	32a
324.62	324.8	32b
324.8	330.08	32c
330.08	332.96	33a
332.96	339.08	33b
339.08	340.04	33c
340.04	344.68	33d
344.68	348.9	33e
348.9	350.76	34a
350.76	352.28	34b
352.28	353.84	34c
353.84	354.56	34d
354.56	356.72	34e
356.72	359.78	s4
359.78	366.72	35
366.72	370.08	36a
370.08	371.06	36b
371.06	372.48	36c
372.48	374.06	36d
374.06	377.64	37a
377.64	379.66	37b
379.66	383.66	38a
383.66	385.38	38b
385.38	386.92	38c
386.92	388.66	38d
388.66	389.6	38e
389.6	390.72	38f
390.72	393.4	38g
393.4	395.88	39a
395.88	397.38	39b
397.38	401.24	39c
401.24	404.04	39d
404.04	408.6	39e
408.6	414.56	40a
414.56	416.88	40b
416.88	418.4	41a
418.4	421.28	41b
421.28	422.76	41c
422.76	425.24	41d
425.24	429.12	41e
429.12	433.04	42a
433.04	435.82	42b
435.82	437.46	42c
437.46	438.8	42d
438.8	441.84	42e
441.84	445.22	42f
445.22	447.28	42g
447.28	452.28	s5
452.28	457.06	43a
457.06	459.9	43b
459.9	462.98	43c
462.98	465.42	44a
465.42	468.92	44b
468.92	471.86	45a
471.86	473.48	45b
473.48	477.94	45c
477.94	480.86	45d
480.86	484.2	45e
484.2	485.52	45f
485.52	487.1	46a
487.1	488.14	46b
488.14	490.92	46c
490.92	491.52	46d
491.52	493.64	46e
493.64	494.76	46f
494.76	497.72	47a
497.72	498.48	47b
498.48	499.2	47c
499.2	501.64	47d
501.64	503.64	47e
503.64	506.42	48a
506.42	508.56	48b
508.56	510.36	48c
510.36	513.04	48d
513.04	514.88	48e
514.88	516.16	49a
516.16	517.66	49b
517.66	520.16	49c
520.16	521.96	49d
521.96	523.74	50a
523.74	530.5	50b
530.5	532.04	50c
532.04	535.06	50d
535.06	537.18	51a
537.18	539.12	51b
539.12	541.6	51c
541.6	549.28	51d
