The Word
1 0.00 14.52
2 14.52 24.40
3 24.40 33.12
4 33.12 40.38
5 40.38 54.80
6 54.80 60.46
7 60.46 68.82
8 68.82 80.60
9 80.60 86.70
10 86.70 112.44
11 112.44 130.80
12 130.80 146.64
13 146.64 160.38
14 160.38 171.18
John Baptizes Jesus
1 0.00 8.54
2 8.54 17.28
3 17.28 34.66
4 34.66 43.78
5 43.78 57.36
6 57.36 61.72
7 61.72 71.56
8 71.56 79.64
9 79.64 88.22
10 88.22 98.38
11 98.38 109.84
12 109.84 121.36
13 121.36 129.46
14 129.46 138.40
15 138.40 157.22
16 157.22 165.04
The Disciples Follow Jesus
1 0.00 6.94
2 6.94 14.28
3 14.28 19.88
4 19.88 33.62
5 33.62 48.82
6 48.82 57.10
7 57.10 69.34
8 69.34 87.50
9 87.50 98.20
10 98.20 104.14
11 104.14 120.74
12 120.74 129.98
13 129.98 138.86
14 138.86 150.10
15 150.10 157.18
16 157.18 170.28
17 170.28 184.50
The Miracle at Cana
1 0.00 8.50
2 8.50 13.24
3 13.24 20.06
4 20.06 29.64
5 29.64 36.74
6 36.74 62.40
7 62.40 73.04
8 73.04 87.16
9 87.16 107.54
10 107.54 122.66
11 122.66 133.66
12 133.66 143.10
Jesus in the Temple Courtyard
1 0.00 8.04
2 8.04 22.96
3 22.96 38.10
4 38.10 48.78
5 48.78 61.92
6 61.92 72.34
7 72.34 80.90
8 80.90 93.24
9 93.24 99.12
10 99.12 117.46
11 117.46 129.60
12 129.60 140.50
Jesus Speaks with Nicodemus
1 0.00 7.86
2 7.86 18.92
3 18.92 28.82
4 28.82 41.14
5 41.14 51.80
6 51.80 62.10
7 62.10 81.52
8 81.52 85.92
9 85.92 92.84
10 92.84 102.76
11 102.76 114.20
12 114.20 122.18
13 122.18 138.54
14 138.54 153.02
15 153.02 160.70
16 160.70 175.68
17 175.68 201.88
18 201.88 215.54
John Testifies About Jesus
1 0.00 12.22
2 12.22 32.22
3 32.22 47.62
4 47.62 61.80
5 61.80 68.42
6 68.42 76.74
7 76.74 91.20
8 91.20 109.74
9 109.74 123.32
10 123.32 136.14
11 136.14 149.84
Jesus Speaks With a Samaritan Woman
1 0.00 13.88
2 13.88 25.70
3 25.70 34.34
4 34.34 46.52
5 46.52 60.34
6 60.34 81.28
7 81.28 96.44
8 96.44 104.28
9 104.28 114.50
10 114.50 122.04
11 122.04 140.98
12 140.98 152.44
13 152.44 156.96
14 156.96 166.46
15 166.46 175.46
16 175.46 180.18
17 180.18 187.52
18 187.52 198.62
19 198.62 210.48
20 210.48 232.26
21 232.26 243.30
22 243.30 252.52
23 252.52 257.56
24 257.56 272.78
25 272.78 287.36
26 287.36 290.88
27 290.88 301.66
28 301.66 307.30
29 307.30 313.28
30 313.28 323.48
31 323.48 334.40
32 334.40 351.16
33 351.16 358.64
34 358.64 369.24
35 369.24 377.96
36 377.96 386.00
37 386.00 392.16
38 392.16 405.86
Jesus Heals an Official's Son
1 0.00 13.16
2 13.16 27.84
3 27.84 54.48
4 54.48 61.68
5 61.68 67.76
6 67.76 78.00
7 78.00 85.84
8 85.84 97.68
9 97.68 121.68
Jesus Walks on the Water
1 0.00 4.86
2 4.86 15.08
3 15.08 20.06
4 20.06 31.40
5 31.40 36.62
6 36.62 48.20
7 48.20 70.92
Jesus Forgives a Condemned Woman
1 0.00 9.50
2 9.50 20.88
3 20.88 28.06
4 28.06 36.82
5 36.82 50.78
6 50.78 65.92
7 65.92 70.48
8 70.48 87.30
9 87.30 94.08
10 94.08 105.54
Jesus is the Light of the World
1 0.00 14.12
2 14.12 22.88
3 22.88 39.32
4 39.32 55.88
5 55.88 72.70
6 72.70 87.16
7 87.16 100.48
8 100.48 113.40
9 113.40 123.62
10 123.62 134.06
11 134.06 146.48
12 146.48 173.14
13 173.14 178.92
14 178.92 197.60
15 197.60 207.74
16 207.74 213.10
Jesus Confronts False Disciples
1 0.00 14.10
2 14.10 23.14
3 23.14 43.50
4 43.50 61.42
5 61.42 72.84
6 72.84 82.14
7 82.14 92.98
8 92.98 107.96
9 107.96 118.18
10 118.18 146.12
11 146.12 171.52
12 171.52 181.24
13 181.24 208.76
14 208.76 223.54
15 223.54 231.98
16 231.98 270.86
17 270.86 278.82
18 278.82 286.44
19 286.44 294.32
Triumphal Entry
1 0.00 9.36
2 9.36 26.58
3 26.58 35.52
4 35.52 43.02
5 43.02 66.46
6 66.46 78.88
7 78.88 85.82
8 85.82 94.90
